Tweets,Likes,Retweets,Sentiment,User,Location
"@mfa_russia @Schwarzenegger Employees of this #Ministry. You are serving a criminal regime that is causing #WarCrimes in #Ukraine. Lay down your duties, as blood is already on your hands. Keep that in mind while walking on our streets.",0,0,-1,Aurelius,
"A rocket-propelled grenade of the Dutch SWEDISH production in marinka. Captured from the militants of the Armed Forces of Ukraine who were abandoning their positions. Now it will go to the common cause of denazification.There just left lying around £20,000 a pop Tax Payers Money https://t.co/9jCqsgd49n",0,0,-1,DownTheRange,🇺🇸🌎🇬🇧
https://t.co/UXYGq8AKaN,0,0,0,Dave Sutor,The Pale Blue Dot
"@LeonardMJoyner @Boba12340769066 @Osinttechnical Maybe not destroyed, but without a load those drones are useless.
And that is the biggest problem and the reason Ukraine will lose this war.
No ammunition.",0,0,-1,Rudolf de Brouwer,
@elonmusk Why dont you send your armored vehicles to Ukraine for evacuation purposes?,0,0,0,Morgan Dale,
"Russian national government have caused so much needless harm in many nations, &amp; repress their own nation's population.

They are terminally greedy, irredeemably corrupt, &amp; incapable of competent leadership. 

https://t.co/DDXOm6vxb9",0,0,1,Rochelimit2772 🇺🇦,
"The #parenting world is showing its support of Ukraine by raising funds, sending supplies and products to help its people in this time of need.
Supporting #Ukraine? Get in touch and we’ll add you to our round-up!
#UNICEF #donating #fundraising #conflict
https://t.co/oaacoqFk6Z",0,0,1,My Baba,"Chelsea, London"
"@NatashaBertrand If they return all territory to Ukraine, rebuild Ukraine &amp; turn over Putin to be tried for the war crimes he committed, then we'll talk relations.",0,0,0,Pastafarian 🇺🇦,"Santa Fe, New Mexico"
"@MikolikAnna Ukraincy na Ukrainę. Jeszcze coś  napiszesz, bo zdania nie zmienię. Co do mądrości to tryskasz głupotą.",0,0,0,Viola,
For the record: I do not believe or support what Putin is doing. I believe he is a monster for what he is doing to Ukraine.,0,0,0,erin,
CBC News Changed the Headline: [Ukrainian president calls on energy producers to hike output]- to - [Russian forces enter town near Chornobyl as Zelensky compares war to Syrian conflict] https://t.co/KOsZ3EwNyc,0,0,1,CBC News Edits,
@BeschlossDC @Edwantstrumpout What about using a Sharpie to draw up the situation in Ukraine? https://t.co/aqIEI3DMH5,0,0,0,Mikey Likes It,
Ukraine says Russian general killed in the war https://t.co/y12cPBq63X https://t.co/yGcKFCUmuL,0,0,-1,The Hill,"Washington, DC"
@ITolochko It’s astounding! ❤️ The world could all learn from Ukraine 🇺🇦❤️,0,0,1,Proud Momma Mia 🇺🇦❤️,USA
How Biden handles threats will dissuade Moscow and other adversaries from using these weapons — or encourage it: https://t.co/mSHLnicLsE,0,0,-1,FDD,Washington DC
"@ilcaaap Sane strategic intelligence analysis Pass it on! @JohnMearshimer lecture Why is @Ukraine the West's Fault Sept 25 2015 University of Chicago @Russia #Russia @CIA @UnitedStates #UkraineCrisis @Poland @johnpilger @LastWeekTonight @joerogan @TheGrayzoneNews
https://t.co/1o9hQdgX5s",0,0,0,Ellen Corley,Chicago
"@yarko I'm on the border in Poland, where thousands of NATO troops here would love nothing more than to be in Ukraine fighting Russians. The calculus is a political one, the fear that more people will die if these troops come across the border rather than weapons to help Ukraine fight",0,0,1,Chad Rune-Thorne,"The crucible of America, PA"
Nik Nanos of Nanos Research has more on the numbers as Canadians are split on whether they support a no-fly zone over Ukraine.  https://t.co/oUQdykR88z,0,0,1,CTV News Vancouver Island,"Vancouver Island, BC"
"➡ #Ukraine's #Lviv near Polish border hit by Russian missiles

https://t.co/kvxpRb94UX",0,0,1,Radio Poland,"Warsaw, Poland"
Russian general Yakov Rezantsev killed in Ukraine - BBC News https://t.co/LIG5xkvQBQ,0,0,-1,Mike in Vegas,"las vegas, nv"
@WobblyOSausage @plutoisours https://t.co/LtQJgrdN0O,0,0,0,Blob 🌸🦖,"England, United Kingdom"
@KyivIndependent I say they sell the yahts and property that was taken from the scum bag Russians who are attacking Ukraine and use their money to rebuild it.,0,0,-1,Ed Hill,United States
"@CNN @donlemon CNN's @JohnBerman says the chemical fire at the fuel depot Russian missiles just struck is a block away from homes in #Lviv.

Chemical fumes polluting Ukraine that will probably drift toward Poland. And US intel has warned of a chemical weapons attack. Is this Putin's teaser?? https://t.co/962f1b3iZ3",0,0,0,🇺🇦Paula Chertok🗽🇺🇦,Left of Center
A key reason Putin’s bloody invasion is faltering? He’s no match for Zelenskiy’s iPhone | Jonathan Freedland https://t.co/XV1KJr2Tsp,0,0,-1,Geo Steve,Texas
"Ukraine's pilots are exhausted, but its drones are still going strong. https://t.co/DwoQyjwYa1 https://t.co/3N2igrxxpj",0,0,1,Forbes,"New York, NY"
@KyivIndependent Should Biden call Putin and told that US nuclear forces are targeted Moscow and Putin should call back all forces from Ukraine? Russia recognises only talks from force positions.,0,0,0,Girts T,
#British intelligence published a map of military operations in #Ukraine as of March 26. https://t.co/NplOsfvRtE,0,0,-1,NEXTA,
"The most astonishing revelation of this tweet lies in fact the approach of Ukraine Tochka-U ballistic missile wasn't visible on high-rez CCTV footage. Well done.
https://t.co/fCZ7PkeO9P",0,0,1,SA Vabaallikate demokraatia fond,Estonia
"Russia’s Kyiv offensive stalls, as Ukrainians counterattack in the south - POLITICO https://t.co/0XIWQ7QoAh",0,0,0,TimothyK | editor of theCOG.co 🇨🇦,"Victoria, Canada"
Is Ukraine a Convenient War for Democrats? | Kim Iversen | Ep 139 https://t.co/gCLDV8A8rt,0,0,0,Guns Addict,"Houston, TX"
